id,Timestamp,Status:,How do you prefer to be contacted by your mentee(s)? Check all that apply. (Will NOT be Included),Write a short description about yourself to share with the mentees.,What was your undergraduate major? (Check all that apply),"By the end of this summer, will you have any internship experience?","If you'd like to include your internship experience in the file, please share a few details here. Indicate any of the following: Your title, company, date(s). For example: ""Data Analyst, MITRE, Jan 2022-May 2022."" If you have more than one, please list them according to the date. ",Why do you want to be a mentor? (Check all that apply),What would be your strengths as a mentor? (Check all that apply),What hobbies/activities do you enjoy in your free time? (Check all that apply),What is the maximum number of students you are willing to mentor?,Please indicate here any preferences or restrictions you would like to consider when a mentee(s) is selecting you:,Is there anything else you'd like the mentees to know?
34,6/10/2024 14:32:27,Full-Time Student,Email,"Hi, I'm a second year student of DSAN program, I can share info about the program, about life in and around DC, also any question related to Data Science. ",Data Science,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Museums, Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",3-5,,
35,6/10/2024 15:20:28,Full-Time Student,"Email, Text","Hey there! I've been a Teaching Assistant for the past two semesters and am currently doing a data science internship in Cancer Research. Also over the summer, I will be contributing to an open source project at AWS. Before joining this program, I worked as a Machine Learning Intern. I absolutely love traveling and discovering new places – I've even tried almost all the top restaurants in DC this past year and have been on countless adventures across! Can't wait to meet you and chat more!",Computer Science,Yes,"Data Sciene Intern, Lombardi Cancer Institute, 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience","Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness, Cycling, Hiking",1-2,I'm a vegetarian!,
36,6/10/2024 16:07:44,Full-Time Student,"Email, Text","I'm currently a graduate student at Georgetown University, focusing on machine learning, deep learning, and data visualization. I've also gained valuable experience as a data science intern at Sinclair, where I learned how data science drives business decisions. I'm here to share tips on preparing for interviews and navigating the internship experience.

Outside of my studies, I'm an adventurous person who loves rock climbing. Whether it's scaling indoor walls or climbing outdoors, I find it thrilling. I also enjoy hanging out with friends and exploring new coffee shops, cute restaurants, and thrift shops. I'm looking forward to getting to know all of you and helping you succeed in your journey!","Economics, Statistics",Yes,"Data Scientist Intern, Sinclair Broadcast Group, June 2024 - Aug 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I have work and/or internship experience, I am friendly and welcoming","Music, Languages, Art / Art History, Travel, Foodie / Restaurants, Fitness, Climbing",3-5,"I prefer mentees who are proactive and eager to learn.
Please be respectful of each other's time and commitments.","I believe in maintaining a healthy work-life balance, and I'm here to support you in achieving that."
37,6/10/2024 17:08:22,Full-Time Student,"Email, Text, Phone Call","I studied Social Relations and Policy, and Statistics double major with Data Science minor. Data Science application on social science led me to this program, but I’m more interested in technical side of data science now. In the meantime, I like to listen to music, walk around the city, and watch movies and sports.","Statistics, Social Relations and Policy",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Music, Art / Art History, Museums, Travel, Cooking, Video Games / Gaming",1-2,,
38,6/10/2024 22:17:16,Full-Time Student,"Email, Text, Phone Call","Hi! I'm a second-year DSAN student. I'm originally from Greenville, SC. I graduated from Wheaton College in 2022 with a degree in Applied Mathematics and minors in Computer Science and Spanish. After a year of working, I decided to pursue my masters degree while continuing to work part-time. Currently, I am a Data Analyst at Rios Partners doing federal consulting. I have lived in the DMV for about 2 years, and I love exploring all that the area has to offer. In my free time, I serve on the Honor Council at Georgetown. I enjoy hiking, trying new food, reading, crafting, and going to museums. I am happy to discuss anything from data science to career development to transitioning to a new place.",Applied Mathematics,Yes,,"I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Museums, Travel, Foodie / Restaurants",1-2,,
39,6/10/2024 22:56:49,Full-Time Student,Email,"I have done my undergrad in Computer Science and worked at Micron for 2 years as a software Developer. I worked on SQL, RPA tool, data analysis , SAP ABAP and etc. currently I am doing internship at Medequip. I will be glad to mentor how to manage getting good grades, projects, internship, social life. I am passionate about machine learning and would love to talk about that. ",Computer Science,Yes,"I am interning at Medequip, a billing service company. I am working on various tasks like SQL, data analysis on medical reports, coming up with key performance indicators for employees and each department at the company. ",I want to expand my professional network,"I am familiar with life in DC, I have work and/or internship experience","Reading, Music, Writing",1-2,,
40,6/10/2024 22:59:10,Full-Time Student,"Email, Text","Hi all! I'm very excited to be a DSAN mentor for this upcoming year. For some background, I am a '23 graduate of Rutgers University with a bachelors in Computer Science. While at Rutgers, I was involved in computational social science research, an e-board member of the society of asian scientists and engineers, and choir. This past year, while a full-time student with DSAN, I've also had a technology internship at Transamerica Corporation. Some of my hobbies include live music, visiting the museums around DC, hiking, and trying new foods and cafes! If you're looking for advice about DSAN, internships, research, or just looking to connect, I'd be thrilled to be that mentor!","Computer Science, Minors: Statistics and Data Science",Yes,"Technology Intern, Transamerica Corporation, May 2023 - August 2024 ","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Music, Art / Art History, Museums, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Hiking",3-5,,
41,6/10/2024 23:39:15,Full-Time Student,"Email, Text, Phone Call","Hi! I’m from Massachusetts and a college 2023 grad! I majored in math and minored in computer science undergrad. I’m really into sports, I played field hockey in college and this past year on the team at Georgetown! I’d love to offer advice and be friends with my mentees! ",Mathematics,Yes,"Data Science Intern, Amtrak, June 2024 - May 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Travel, Foodie / Restaurants, Sports, Fitness",1-2,,
42,6/11/2024 0:18:23,Full-Time Student from the DSAN Accelerated Program,"Email, Text, Phone Call","Hi everyone, excited to meet you! I'll be a second-year student in the fall and started the program last year as an accelerated student. I'm originally from Minneapolis, Minnesota and graduated this May from Georgetown majoring in Operations & Analytics and Finance. I also work in the DSAN Suite as a Student Ambassador so I'm sure I will get to know all of you throughout this upcoming year.

Outside of school I'm a big sports fan (primarily baseball/basketball/football), like running, listen to a lot of music, and enjoy playing video games (mostly Pokémon VGC and Super Smash Bros). I'm looking forward to getting to know all of you and helping out in any way I can! ","Business, Finance",Yes,"Data & Analytics Intern, Optum, June-August 2023
Summer Associate, Boston Consulting Group, June-August 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Video Games / Gaming, Sports, Fitness, Running",8+,,
43,6/12/2024 17:20:49,Full-Time Student,Text,"Hello and welcome!

I grew up in New Jersey as a triplet with two amazing sisters. I graduated from Villanova in 2021 with an Honors Degree, double majoring in Economics and Business Analytics and minoring in Political Science. While at Villanova, I had the exciting opportunity to start a business with my sisters. Now, they’re off to law school while I pursue my passion for data science.

I’m a full-time student in the DSAN program and loving every moment of it. The versatility of data science and its limitless applications are incredibly exciting to me. In addition to my studies, I’m an MDI scholar, a TA, and a Student Ambassador, all while continuing to work on my business with my sisters.

I look forward to getting to know all the incoming students and am happy to share any advice or guidance. Outside of academics, I’m a die-hard New York sports fan, I love both listening to and playing music, and I’m always up for new experiences. I can’t wait to meet all of you and help you get to know the fantastic people in our program!","Economics, Business Analytics",Yes,"MDI Scholar, Summer 2024","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Museums, Film Enthusiast, Travel, Foodie / Restaurants, Video Games / Gaming, Sports, Fitness",3-5,no preferences,nope! I'm a pretty chill guy
